Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Operations on Tree,100.0,0.0045780126997418185,https://leetcode.com/problems/operations-on-tree,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Design"
MEDIUM,Longest Subsequence With Decreasing Adjacent Difference,84.2,0.0016975247196230673,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference,"Array, Dynamic Programming"
MEDIUM,Find Closest Node to Given Two Nodes,63.8,0.0053061476790510365,https://leetcode.com/problems/find-closest-node-to-given-two-nodes,"Depth-First Search, Graph Theory"
HARD,Largest Color Value in a Directed Graph,58.0,0.005718224356286481,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,"Hash Table, String, Dynamic Programming, Graph Theory, Topological Sort, Memoization, Counting, Directed Acyclic Graph"
HARD,Shortest Path in a Weighted Tree,58.0,0.004148438350201328,https://leetcode.com/problems/shortest-path-in-a-weighted-tree,"Array, Tree, Depth-First Search, Binary Indexed Tree, Segment Tree"
HARD,Sliding Window Maximum,58.0,0.004910891835136791,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Longest Cycle in a Graph,49.9,0.005104752676015899,https://leetcode.com/problems/longest-cycle-in-a-graph,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Kosaraju's Algorithm, Tarjan's SCC Algorithm"
MEDIUM,Set Matrix Zeroes,49.9,0.006348235344997938,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,49.9,0.003977946185101758,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Gas Station,49.9,0.004855705321632883,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Maximum Score From Removing Substrings,49.9,0.006641197407061561,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
MEDIUM,Asteroid Collision,49.9,0.0048763096265253296,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Two Sum,49.9,0.005800955370218203,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,49.9,0.005257644267966873,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
