Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Bus Routes,100.0,0.004749644936244596,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Alien Dictionary,95.2,0.0037286671052069024,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,94.4,0.005791944829045884,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Number of Islands,89.9,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Number of Islands II,89.9,0.004070971555968578,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Construct Quad Tree,87.0,0.007861745646084299,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
EASY,Squares of a Sorted Array,85.8,0.007406489931721862,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,First Unique Number,83.2,0.005787576943499381,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
MEDIUM,Kth Smallest Element in a BST,82.3,0.0077214885199933135,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Find the Closest Palindrome,80.8,0.003207186787430617,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
MEDIUM,Word Search,78.0,0.004794690509986449,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Minimum Edge Reversals So Every Node Is Reachable,76.8,0.005979627318116976,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,LRU Cache,76.2,0.004786900551133637,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Hit Counter,76.2,0.006974272516303686,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Insert Delete GetRandom O(1),76.2,0.005548617263935756,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Word Search II,73.4,0.0038787521659781653,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,My Calendar I,73.4,0.005837601174146484,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
EASY,Best Time to Buy and Sell Stock,71.9,0.005725131591964092,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Count Paths That Can Form a Palindrome in a Tree,71.9,0.005207741365157542,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Product of Array Except Self,71.1,0.00691645309116076,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Evaluate Division,70.2,0.006450741323946335,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
HARD,Text Justification,69.3,0.005189791948559949,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Block Placement Queries,68.4,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Making A Large Island,67.4,0.005708592445368767,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Random Pick with Weight,67.4,0.004921190432880283,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Leftmost Column with at Least a One,66.4,0.005526768666291627,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Course Schedule II,65.4,0.0056088233262362175,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Find Minimum Time to Reach Last Room I,65.4,0.005548436243994541,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i,"Array, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Valid Sudoku,64.3,0.00649508934413301,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Spiral Matrix,64.3,0.005762720330943672,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Final Prices With a Special Discount in a Shop,63.1,0.00842970626619508,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
MEDIUM,The Earliest Moment When Everyone Become Friends,63.1,0.006611672706465764,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
MEDIUM,Course Schedule,61.8,0.00520403869711129,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Basic Calculator,61.8,0.004711217156275741,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Design In-Memory File System,61.8,0.004831368860605818,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Shortest Bridge,61.8,0.00597095395782115,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Group Anagrams,60.5,0.0073129100197969945,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Word Break,60.5,0.004977890691223127,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Meeting Rooms II,60.5,0.00527767860798182,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Rotating the Box,60.5,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Letter Combinations of a Phone Number,59.1,0.006666007170912495,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Top K Frequent Words,59.1,0.0060501317296213575,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Cherry Pickup,59.1,0.004027068692814383,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,57.5,0.00580095815633082,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Serialize and Deserialize Binary Tree,57.5,0.006102834593179557,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,The Maze,57.5,0.006051052807248266,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Escape the Spreading Fire,57.5,0.003905167008422444,https://leetcode.com/problems/escape-the-spreading-fire,"Array, Binary Search, Breadth-First Search, Matrix"
HARD,Divide Nodes Into the Maximum Number of Groups,57.5,0.006685905039997566,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Minimum Window Substring,55.9,0.0048255125532190475,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Valid Anagram,55.9,0.006853248685859993,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Shuffle an Array,55.9,0.005993320092536803,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Split Message Based on Limit,55.9,0.004206732913492587,https://leetcode.com/problems/split-message-based-on-limit,"String, Enumeration"
MEDIUM,Minimum Operations to Reduce an Integer to 0,55.9,0.006317560635285427,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
HARD,Merge k Sorted Lists,54.1,0.006029411849278554,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Search in Rotated Sorted Array,54.1,0.004546234400927249,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Coin Change,54.1,0.004897347268405778,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Top K Frequent Elements,54.1,0.006713899674875039,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Split Array Largest Sum,54.1,0.006119260048615028,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,All O`one Data Structure,54.1,0.004446775170799991,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Time Based Key-Value Store,54.1,0.005012868360437659,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Minimum Number of Operations to Make Array Continuous,54.1,0.005176202584074462,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous,"Array, Hash Table, Binary Search, Sliding Window"
MEDIUM,Minimum Time to Complete Trips,54.1,0.003998108350559694,https://leetcode.com/problems/minimum-time-to-complete-trips,"Array, Binary Search"
MEDIUM,Maximize Amount After Two Days of Conversions,54.1,0.006196980589503954,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Maximum Coin Collection ,54.1,0.005298662144337667,https://leetcode.com/problems/maximum-coin-collection,"Array, Dynamic Programming"
MEDIUM,The Maze II,54.1,0.0055199115044247795,https://leetcode.com/problems/the-maze-ii,"Array, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path, Dijkstra's Algorithm, Heuristic Search, A* Search"
EASY,Roman to Integer,52.1,0.006704949593711936,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Sudoku Solver,52.1,0.006558603787809422,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix, Algorithm X, Dancing Links"
MEDIUM,Decode Ways,52.1,0.003844586783843916,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Find Peak Element,52.1,0.004714061708087774,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,House Robber III,52.1,0.00562234293063795,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Delete Node in a BST,52.1,0.0055257219560239535,https://leetcode.com/problems/delete-node-in-a-bst,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Exclusive Time of Functions,52.1,0.006626054292085511,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Replace Words,52.1,0.006892660807817755,https://leetcode.com/problems/replace-words,"Array, Hash Table, String, Trie"
