category,difficulty,title,company_tags,accuracy,url
Graph,Easy,BFS of graph,"Adobe, Amazon, Flipkart, +4",44.09%,https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1
Graph,Easy,DFS of Graph,"Accolite, Amazon, Intuit, +1",63.07%,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1
Graph,Easy,Graph Adjacency List Traversal,,43.42%,https://www.geeksforgeeks.org/problems/print-adjacency-list-1587115620/1
Graph,Easy,Shortest Path From 1 To n,"Accolite, Cisco, Morgan Stanley, +2",37.62%,https://www.geeksforgeeks.org/problems/shortest-path-from-1-to-n0156/1
Graph,Easy,Sum of Dependencies in Graph,Flipkart,66.93%,https://www.geeksforgeeks.org/problems/sum-of-dependencies-in-a-graph5311/1
Graph,Easy,Count Graphs with n Vertices,,59.13%,https://www.geeksforgeeks.org/problems/graph-and-vertices/1
Graph,Easy,Maximum Weight Node,JUSPAY,53.85%,https://www.geeksforgeeks.org/problems/maximum-weight-node--170645/1
Graph,Easy,Path Exists,NPCI,62.53%,https://www.geeksforgeeks.org/problems/path-exists/1
Graph,Easy,Convert Adjacency matrix to Adjacency list,,91.74%,https://www.geeksforgeeks.org/problems/convert-adjacency-matrix-to-adjacency-list/1
Graph,Easy,Count number of edges in an undirected graph,,75.90%,https://www.geeksforgeeks.org/problems/count-number-of-edges-in-an-undirected-graph/1
Graph,Easy,Convert Adjacency List to Adjacency Matrix,,80.29%,https://www.geeksforgeeks.org/problems/convert-adjacency-list-to-adjacency-matrix/1
Graph,Easy,Degree For Each Vertex,,92.67%,https://www.geeksforgeeks.org/problems/degree-of-each-vertices-in-a-graph/1
Graph,Easy,Minimum number of edges between two vertices,NPCI,29.54%,https://www.geeksforgeeks.org/problems/minimum-number-of-edges-between-two-vertices/1
Graph,Easy,Check if there is a direct edge between two vertices,,85.58%,https://www.geeksforgeeks.org/problems/check-if-there-is-a-direct-edge-between-two-vertices/1
Graph,Medium,Undirected Graph Cycle,"Adobe, Amazon, Flipkart, +4",30.13%,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
Graph,Medium,Directed Graph Cycle,"Adobe, Amazon, BankBazaar, +8",27.88%,https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1
Graph,Medium,Topological Sort,"Accolite, Amazon, D-E-Shaw, +7",56.52%,https://www.geeksforgeeks.org/problems/topological-sort/1
Graph,Medium,Dijkstra Algorithm,"Flipkart, Microsoft",50.83%,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
Graph,Medium,Count Islands,"Amazon, Citrix, D-E-Shaw, +18",42.12%,https://www.geeksforgeeks.org/problems/find-the-number-of-islands/1
Graph,Medium,Shortest Path in Directed Acyclic Graph,,48.48%,https://www.geeksforgeeks.org/problems/shortest-path-in-directed-acyclic-graph/1
Graph,Medium,Rotten Oranges,"Accolite, Amazon, Flipkart, +5",46.02%,https://www.geeksforgeeks.org/problems/rotten-oranges2536/1
Graph,Medium,Minimum Multiplications to reach End,,48.94%,https://www.geeksforgeeks.org/problems/minimum-multiplications-to-reach-end/1
Graph,Medium,Bipartite Graph,"Flipkart, Microsoft, Samsung",31.25%,https://www.geeksforgeeks.org/problems/bipartite-graph/1
