Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reward Top K Students,100.0,0.004752170342562177,https://leetcode.com/problems/reward-top-k-students,"Array, Hash Table, String, Sorting, Heap (Priority Queue)"
HARD,Sliding Window Maximum,88.7,0.004910876146127737,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Reconstruct Itinerary,83.4,0.004489929254672969,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
MEDIUM,Integer to Roman,83.4,0.007149571236984769,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Permutations,83.4,0.008226112598117502,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Maximal Square,76.5,0.005074627966974904,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Roman to Integer,76.5,0.00670490993910127,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,LRU Cache,76.5,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Longest Valid Parentheses,66.8,0.003950360822704821,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Course Schedule,66.8,0.00520400527949122,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
