Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression,100.0,0.006060163705313572,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Minimum Operations to Reduce an Integer to 0,92.7,0.006317560635285427,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Time Needed to Rearrange a Binary String,88.0,0.005356595004235639,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Maximum Team Size with Overlapping Intervals,88.0,0.004338624338624339,https://leetcode.com/problems/maximum-team-size-with-overlapping-intervals,
MEDIUM,Merge Intervals,88.0,0.005257655719437011,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Minimum Replacements to Sort the Array,75.0,0.005310271728656774,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Course Schedule II,75.0,0.005608814973328658,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,LFU Cache,64.7,0.005002959336524059,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Edge Reversals So Every Node Is Reachable,64.7,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Subarray Sum Equals K,64.7,0.0047980037826765186,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Maximum Product of Three Numbers,64.7,0.004822237990077638,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Minimum Removals to Balance Array,64.7,0.004783540243788665,https://leetcode.com/problems/minimum-removals-to-balance-array,"Array, Binary Search, Sliding Window, Sorting"
MEDIUM,Remove All Adjacent Duplicates in String II,64.7,0.00617572128226088,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Fruit Into Baskets,64.7,0.005215393070292332,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Remove Stones to Minimize the Total,64.7,0.006609895855117319,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
HARD,Optimal Account Balancing,64.7,0.005061702949890506,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Asteroid Collision,64.7,0.004876330470374295,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,64.7,0.002437989731536651,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Meet in the Middle, Sorting, Ordered Set, Bitmask"
MEDIUM,Amount of Time for Binary Tree to Be Infected,64.7,0.006587239023458029,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Meeting Rooms II,64.7,0.005277670781628514,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Merge k Sorted Lists,64.7,0.006029401193093561,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
EASY,Count Vowel Substrings of a String,64.7,0.0073424036281179135,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Palindrome Partitioning,64.7,0.007450510034044455,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
