Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reward Top K Students,100.0,0.004752170342562177,https://leetcode.com/problems/reward-top-k-students,"Array, Hash Table, String, Sorting, Heap (Priority Queue)"
HARD,Delete Duplicate Folders in System,82.2,0.00772256520377578,https://leetcode.com/problems/delete-duplicate-folders-in-system,"Array, Hash Table, String, Depth-First Search, Trie, Sorting, Hash Function"
EASY,Two Out of Three,82.2,0.007771166622565812,https://leetcode.com/problems/two-out-of-three,"Array, Hash Table, Bit Manipulation"
MEDIUM,Coloring A Border,79.7,0.0051607929515418505,https://leetcode.com/problems/coloring-a-border,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,K Highest Ranked Items Within a Price Range,79.7,0.004714945432707242,https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range,"Array, Breadth-First Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Order Two Columns Independently,79.7,0.006185601239555088,https://leetcode.com/problems/order-two-columns-independently,Database
HARD,Sliding Window Maximum,73.7,0.004910876146127737,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Permutations,69.9,0.008226112598117502,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Maximal Square,65.2,0.005074627966974904,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Reconstruct Itinerary,65.2,0.004489929254672969,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
MEDIUM,Integer to Roman,65.2,0.007149571236984769,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,LRU Cache,59.2,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Roman to Integer,59.2,0.00670490993910127,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Longest Valid Parentheses,50.7,0.003950360822704821,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Course Schedule,50.7,0.00520400527949122,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
